Age,FrequentFlyer,AnnualIncomeClass,ServicesOpted,AccountSyncedToSocialMedia,BookedHotelOrNot,Target,TextualData
34,Yes,Low Income,4,Yes,No,1,The customer is 34 years old and has opted for 4 services from the tour & travels company. They are a frequent flyer and have their account synced to social media. Their annual income class is categorized as low income. The customer has not booked a hotel through the company's services.
31,No Record,Middle Income,3,No,No,0,The customer is 31 years old. Their status as a Frequent Flyer is not recorded. They fall into the Middle Income category in terms of annual income. The customer has opted for 3 services. Their account is not synced to social media. They have not booked a hotel.
27,No,Low Income,2,No,No,1,"A 27-year-old customer, who is not a frequent flyer and falls under the low income annual income class, has opted for 2 services. Their account is not synced to social media, and they have not booked a hotel."
38,No,Low Income,1,No,Yes,0,"The customer is 38 years old and has a low annual income. They are not a frequent flyer, have opted for only 1 service, and have not synced their account to social media. However, they have booked a hotel."
30,Yes,High Income,5,No,No,0,"The customer is 30 years old and has a high income level. They are a frequent flyer, having opted for 5 services, and have not synced their account to social media. The customer has not booked a hotel with the company."
38,No,Middle Income,1,Yes,Yes,0,"Based on the given indicators, a 38-year-old customer with a middle income has opted for 1 service and has synced their account to social media. They are not a frequent flyer, but they have booked a hotel."
36,No,Low Income,2,Yes,No,1,The customer is 36 years old and falls under the category of low income based on the annual income class. They have opted for 2 services and have not booked a hotel. The customer is not a frequent flyer but has synced their account to social media.
35,No,Middle Income,4,No,No,0,The customer is 35 years old and falls into the middle-income category. They are not a frequent flyer and have not booked a hotel. They have opted for 4 services but have not synced their account to social media.
28,Yes,High Income,6,No,Yes,1,The customer is 28 years old and falls under the category of high income. They are a frequent flyer and have opted for 6 services with the travel company. They have booked a hotel but have not synced their account to social media.
34,Yes,Low Income,1,Yes,No,0,"The customer is 34 years old and is a frequent flyer, having a low income. They have opted for one service from the company and have synced their account to social media. However, the customer has not booked a hotel through the company."
30,No,Middle Income,2,Yes,No,0,"The customer, aged 30, does not have frequent flyer status. Their annual income falls within the middle-income class. They have opted for 2 services from the tour and travels company. Their account is synced to social media, and it is noted that they have not booked a hotel at this time."
27,No,Middle Income,1,No,Yes,0,"The customer is 27 years old and belongs to the Middle Income category. They are not a frequent flyer, and their account is not synced to social media. The customer has opted for 1 service and has booked a hotel."
30,Yes,Low Income,1,No,No,0,"The customer is 30 years old and has indicated being a Frequent Flyer. They fall into the category of Low Income based on their Annual Income Class. The customer has opted for 1 service. They have not synced their account to social media. Lastly, the customer has not booked a hotel."
31,No,Middle Income,3,No,Yes,0,"Based on the information provided, the customer is 31 years old and is not a frequent flyer. They fall into the middle-income class and have opted for 3 services. Their account is not synced to any social media platform, and they have already booked a hotel."
30,No,Middle Income,4,No,No,0,The customer is 30 years old and is not a frequent flyer. Their annual income class falls under the Middle Income category. They have opted for 4 services with the company. Their account is not synced to any social media platform. The customer has not booked a hotel through the company.
34,No,Low Income,1,Yes,No,0,"The customer is 34 years old with a low annual income. They do not have frequent flyer status and have opted for only 1 service. Additionally, their account is synced to social media, but they have not yet booked a hotel."
31,Yes,High Income,1,No,No,0,The customer is 31 years old and has a high income. They are a frequent flyer but have not connected their account to social media. They have opted for 1 service but have not yet booked a hotel.
29,No,Middle Income,5,No,Yes,0,"The customer is 29 years old and belongs to the middle-income class. They have not listed as a frequent flyer and have opted for 5 different services. Their account is not synced to social media, but they have booked a hotel."
34,No,Low Income,2,No,Yes,0,"The customer is 34 years old with a low annual income. They are not a frequent flyer, have opted for 2 services, and have not synced their account to social media. However, they have booked a hotel."
33,No,Middle Income,3,Yes,Yes,0,"The customer is 33 years old and falls under the middle-income category. They have not opted for frequent flyers services but have availed 3 other services from the travel company. Their account is synced to social media, and they have booked a hotel through the company."
31,Yes,High Income,1,Yes,No,1,The customer is 31 years old and falls under the high-income class category. They are a frequent flyer and have their account synced to social media. The customer has opted for 1 service but has not booked a hotel yet.
30,No,Low Income,4,No,No,0,"The customer is 30 years old and does not have frequent flyer status. Their annual income falls under the low-income bracket. They have opted for four services but have not synced their account to social media. Additionally, they have not booked a hotel."
36,No,Middle Income,2,No,No,0,"The customer, aged 36, does not have frequent flyer status and falls under the middle income bracket. They have availed 2 services from the company and have not synced their account to any social media platform. Additionally, they have not booked a hotel with the company."
28,No Record,Low Income,6,No,Yes,0,"The customer is 28 years old and has not been identified as a frequent flyer. The customer falls under the low-income class category and has opted for 6 different services. Their account is not synced to any social media platform, and they have booked a hotel. These indicators will be used to predict whether the customer will churn in the tour and travels company's services."
31,Yes,Low Income,1,Yes,No,1,The customer is aged 31 and has a low income. They are a frequent flyer and have an active social media account synced to their travel account. They have opted for 1 service but have not yet booked a hotel.
29,No,Middle Income,3,Yes,No,0,The customer is 29 years old and falls under the Middle Income category. They have not enrolled as a FrequentFlyer. The customer has availed 3 services but has not booked a hotel. Their account is synced to social media.
37,No,Middle Income,2,No,No,0,The customer is aged 37 and is categorized under the Middle Income bracket. They have not indicated being a Frequent Flyer and have not synced their account to social media. The customer has opted for 2 services but has not made a hotel booking.
34,No,Low Income,1,No,Yes,0,"The customer is 34 years old. They are not a frequent flyer. They have a low income level. The customer has opted for 1 service. Their account is not synced to social media. Additionally, the customer has booked a hotel."
28,Yes,High Income,4,No,Yes,1,"Sure! Here is a detailed textual description of the given row:

The customer is 28 years old, has a high annual income, has opted for 4 services, is a frequent flyer, has not synced their account to social media, and has booked a hotel."
30,No,Middle Income,1,Yes,Yes,0,The customer is 30 years old and has a middle income. They are not a frequent flyer but have opted for 1 service. Their account is synced to social media and they have booked a hotel.
28,No,Low Income,5,Yes,No,1,"The customer is 28 years old and belongs to the low income class. They have not opted for frequent flyer services and have not booked a hotel. However, they have synced their account to social media and have opted for 5 services in total."
29,No,Middle Income,3,No,No,0,"Based on the indicators provided, the customer is 29 years old and belongs to the middle-income class. They have not opted for being a frequent flyer, and their account is not synced to social media. Additionally, the customer has opted for 3 services but has not booked a hotel."
30,Yes,High Income,1,No,No,1,"The customer is aged 30, falls under the High Income category, has opted for 1 service, and is a FrequentFlyer. Their account is not synced to social media, and they have not booked a hotel."
37,No,Low Income,1,Yes,Yes,0,"The individual is aged 37 and does not have a frequent flyer status. Their annual income is classified as low income. They have opted for 1 service and have synced their account to social media. Additionally, they have booked a hotel."
27,No Record,Middle Income,2,No,No,1,"The customer is 27 years old with a middle-income annual salary classification. They have not provided a frequent flyer record, and their account is not synced to any social media platform. Additionally, the customer has opted for 2 services but has not booked a hotel yet."
29,No,Middle Income,4,Yes,Yes,0,"The customer is aged 29. They are not a frequent flyer but have an annual income classified as middle income. The customer has opted for 4 services and has synced their account to social media. Additionally, they have booked a hotel."
36,Yes,Low Income,1,No,No,0,"The customer in question is 36 years old. They are a frequent flyer and have a low income. They have opted for 1 service. Their account is not synced to any social media platform. Additionally, they have not booked a hotel."
35,Yes,Low Income,3,No,No,1,"The customer is 35 years old and has a low annual income. They are a frequent flyer but have not synced their account to social media. Additionally, they have opted for 3 services but have not booked a hotel."
28,No,Middle Income,6,No,Yes,1,"The customer is 28 years old and belongs to the Middle Income class. They have not indicated being a Frequent Flyer and have opted for 6 services. Their social media account is not synced with their travel account, but they have booked a hotel."
36,No,Low Income,1,Yes,No,0,"The customer is 36 years old with a low annual income, not a frequent flyer, opted for 1 service, has their account synced to social media, and has not booked a hotel."
29,Yes,High Income,1,Yes,No,0,"The customer is a 29-year-old individual with a high income level. They are a frequent flyer and have opted for 1 service. Their account is synced to social media, but they have not booked a hotel yet."
37,No,Middle Income,1,No,Yes,0,The customer is 37 years old. They are not a frequent flyer. They fall into the middle income category. They have opted for 1 service. Their account is not synced to social media. They have booked a hotel.
31,No,Low Income,4,Yes,No,1,"Based on the provided indicators, a 31-year-old customer with a low annual income, who is not a frequent flyer, has opted for 4 services from the tour and travel company. This customer has their account synced to social media but has not yet booked a hotel."
28,No,Middle Income,5,No,Yes,0,The customer is 28 years old and falls under the Middle Income category in terms of annual income. They are not a Frequent Flyer and have not synced their account to social media. The customer has opted for 5 services and has booked a hotel.
31,Yes,High Income,1,No,No,1,"A 31-year-old customer, who frequently flies, has a high income, opted for one service, has not synced their account to social media, and has not booked a hotel."
36,No Record,Low Income,1,Yes,No,0,The customer is 36 years old with a low income. They do not have a frequent flyer record. They have opted for 1 service. The customer has synced their account to social media. They have not booked a hotel.
36,No,Middle Income,2,No,No,0,The customer is 36 years old and falls under the middle-income class category. They are not a frequent flyer and have not booked a hotel. They have opted for 2 services but have not synced their account to any social media platform.
31,No,Middle Income,1,No,Yes,0,"The customer is 31 years old and falls into the middle income class category. They are not a frequent flyer and have opted for only 1 service. Their account is not synced to social media, but they have booked a hotel."
30,Yes,Low Income,1,No,Yes,0,"The customer is 30 years old and has indicated that they are a frequent flyer. Their annual income class is categorized as low income. They have opted for 1 service with the company. The customer has not synced their account to any social media platform. Additionally, they have already booked a hotel through the tour and travels company."
29,No,Middle Income,4,Yes,No,0,The customer is 29 years old and falls under the middle income annual income class category. They are not a frequent flyer and have opted for 4 services. Their account is synced to social media and they have not booked a hotel.
38,No,Middle Income,2,Yes,No,0,The customer is 38 years old and falls under the Middle Income Annual Income Class category. They have opted for 2 services and have their account synced to social media. They are not a frequent flyer and have not booked a hotel yet.
38,Yes,Low Income,1,Yes,Yes,0,The customer is 38 years old and has opted for 1 service. They have a low annual income and are a frequent flyer. Their account is synced to social media and they have already booked a hotel.
29,Yes,High Income,1,No,No,0,The customer is 29 years old and is a frequent flyer. They have a high annual income and have opted for 1 service. Their account is not synced to social media and they have not booked a hotel.
27,No,Middle Income,6,No,Yes,0,"This customer is 27 years old and falls into the Middle Income category. They have opted for 6 services offered by the tour & travels company. The customer is not a Frequent Flyer and has not synced their account to social media, however, they have already booked a hotel."
35,No,Low Income,2,No,No,0,"Based on the provided indicators for a customer:
- The individual’s age is 35, indicating that they are in the prime of their working years.
- They do not have frequent flyer status.
- They fall into the low income category based on their annual income.
- They have opted for 2 services from the tour and travels company.
- Their account is not synced to social media.
- They have not yet booked a hotel through the company’s services."
30,No,Middle Income,3,Yes,No,0,"The customer is 30 years old and falls under the Middle Income bracket. They are not a Frequent Flyer. They have opted for 3 services and have synced their account to social media. However, they have not booked a hotel yet."
29,Yes,High Income,5,No,No,1,The customer is 29 years old and has a high income. They are a frequent flyer but haven't booked a hotel. They have opted for 5 services but have not synced their account to social media.
31,No,Low Income,1,No,No,0,"Based on the given indicators, the customer is 31 years old and does not have a frequent flyer status. Their annual income class is categorized as low income. They have opted for 1 service, and their account is not synced to social media. Additionally, the customer has not booked a hotel."
31,No,Low Income,2,No,Yes,0,"The customer is 31 years old with a low income and has not opted for frequent flyer services. They have booked a hotel and have not synced their account to social media. Additionally, the customer has opted for 2 services provided by the company."
34,No,Middle Income,1,Yes,Yes,0,"The customer is 34 years old and has a middle income. They are not a frequent flyer and have opted for 1 service. Their account is synced to social media, and they have booked a hotel."
29,Yes,Low Income,1,Yes,No,1,"The customer is 29 years old and is a frequent flyer, with a low annual income classification. They have opted for one service, have synced their account to social media, but have not booked a hotel."
37,No,Middle Income,3,No,No,0,"The customer is 37 years old and has a middle income. They are not a frequent flyer, have not synced their account to social media, and have not booked a hotel. They have opted for 3 services."
36,No,Middle Income,2,No,No,0,"The customer is 36 years old and belongs to the Middle Income category. They did not avail the Frequent Flyer program. They have opted for 2 services. The customer has not synced their account to social media, and they have not booked a hotel."
34,No,Low Income,4,No,Yes,0,"The customer is 34 years old and has opted for 4 services. They have a low annual income and are not a frequent flyer. Their account is not synced to social media, but they have booked a hotel."
30,Yes,High Income,1,No,No,0,"A customer, aged 30 with a high annual income, is a frequent flyer with one service opted. Their account is not synced to social media, and they have not booked a hotel through the company. This information could be useful in predicting whether this customer is likely to churn or not."
31,No,Low Income,1,Yes,Yes,0,"The customer is 31 years old and does not have frequent flyer status. They fall under the low-income category for annual income. The customer has opted for 1 service. Their account is synced to social media, and they have already booked a hotel."
31,No,Low Income,2,No,No,0,"The customer is aged 31 and does not have frequent flyer status. Their annual income class is classified as low income. They have opted for 2 services and have not synced their account to social media. Additionally, the customer has not booked a hotel."
31,No Record,Middle Income,3,No,Yes,0,"A 31-year-old customer with a middle income, who has not recorded as a frequent flyer, has opted for 3 services, did not sync their account to social media, and has booked a hotel."
37,Yes,High Income,6,No,Yes,1,"The customer is aged 37, has a high income, and is a frequent flyer. They have opted for 6 services and have booked a hotel. Their account is not synced to social media."
30,No,Low Income,5,Yes,No,0,The customer is aged 30 and has a low income. They are not a frequent flyer and have opted for 5 services. Their account is synced to social media but they have not booked a hotel.
31,No,Middle Income,4,Yes,No,0,"The customer is 31 years old and does not have frequent flyer status. The customer falls under the middle income class. They have availed 4 services from the tour and travels company. Their account is synced to social media. Additionally, the customer has not booked a hotel yet."
38,No,Middle Income,1,No,Yes,0,"The customer is 38 years old and has an annual income falling in the Middle Income class range. They are not a frequent flyer and have opted for 1 service. Their account is not synced to social media, but they have booked a hotel."
28,Yes,Low Income,1,No,No,1,"The customer is 28 years old and is a frequent flyer. They have a low income and have opted for 1 service. Their account is not synced to any social media platform, and they have not booked a hotel."
30,No,Middle Income,3,No,Yes,0,"The customer is 30 years old and falls under the Middle Income bracket. They have not enrolled as a Frequent Flyer and have opted for 3 services. Their account is not synced to any social media platform. Additionally, they have booked a hotel."
27,No,Middle Income,2,No,No,1,"The customer is 27 years old. They are not a frequent flyer and have an annual income classified as middle income. The customer has opted for 2 services and has not synced their account to social media. Also, they have not booked a hotel."
27,No,Low Income,1,Yes,No,0,"Based on the provided information, the customer is aged 27. They do not hold frequent flyer status and fall into the low-income class category. The customer has opted for 1 service and has synced their account to social media. However, they have not yet booked a hotel."
30,Yes,High Income,1,No,No,0,This customer is 30 years old and belongs to the high-income class. They are a frequent flyer and have opted for one service. Their account is not synced to social media and they have not booked a hotel.
36,No,Middle Income,4,No,Yes,0,"The customer is aged 36 and falls in the Middle Income category for annual income. They have opted for 4 services with the travel company. The customer is not a frequent flyer and has not synced their account to any social media platforms. Additionally, they have already booked a hotel through the company."
27,No Record,Low Income,2,Yes,Yes,1,"The customer is 27 years old and falls under the low-income bracket. They have opted for 2 services and have booked a hotel. They are not a frequent flyer, and their account is synced to social media."
34,Yes,Low Income,3,Yes,No,1,"The customer is aged 34 and holds a low income annual class. They are a Frequent Flyer, with 3 services opted for. Their account is synced to social media, but they have not booked a hotel yet."
37,Yes,High Income,1,Yes,No,1,The customer is 37 years old and has a high annual income. The customer is a frequent flyer and has opted for 1 service. They have synced their account to social media but have not yet booked a hotel.
38,No,Low Income,1,No,No,0,"The customer is 38 years old and does not have a frequent flyer status. Their annual income falls under the category of low income. They have opt for one service with the company and have not synced their account to any social media platform. Additionally, the customer has not made any hotel bookings through the company."
37,No,Middle Income,5,No,No,1,A 37-year-old customer with a middle income level who has opted for 5 services and has not synced their account to social media has not booked a hotel. The customer is not a frequent flyer.
37,No,Middle Income,6,No,Yes,0,"The customer is aged 37 and their annual income class is Middle Income. They are not a Frequent Flyer and have opted for 6 services. Their account is not synced to social media, and they have booked a hotel."
37,Yes,Low Income,4,No,No,0,The customer is 37 years old. They are a frequent flyer. Their annual income class is categorized as low income. They have opted for 4 services. Their account is not synced to social media. The customer has not booked a hotel.
37,No,Middle Income,3,Yes,No,0,"The customer is 37 years old, does not hold a frequent flyer status, falls under the Middle Income category for annual income, has opted for 3 services, has synced their account to social media, and has not booked a hotel yet."
36,Yes,Low Income,2,No,No,0,"A customer, aged 36, who is a frequent flyer and has a low annual income, has opted for 2 services from the tour & travels company. Their account is not synced to social media, and they have not booked a hotel through the company."
35,No,Low Income,1,Yes,No,0,The customer is 35 years old and has a low income. They are not a frequent flyer but have their account synced to social media. They have opted for 1 service but have not booked a hotel.
30,Yes,High Income,1,No,Yes,0,"The customer is aged 30 with a high income and is a frequent flyer. They have opted for 1 service, have synced their account to social media, and have booked a hotel."
30,No Record,Middle Income,1,Yes,Yes,0,"The customer is aged 30 and falls into the middle-income category. They have not previously had a record as a Frequent Flyer. The customer has opted for 1 service and has synced their account to social media. Additionally, they have booked a hotel."
30,No,Low Income,2,Yes,No,1,"The customer is 30 years old and has a low income. They are not a frequent flyer. They have opted for 2 services and have synced their account to social media. However, they have not booked a hotel."
30,No,Middle Income,4,No,Yes,0,"The customer is aged 30 and has opted for 4 services from the tour company. The customer is not a frequent flyer, belongs to the middle-income class, and has not synced their account to social media. Additionally, the customer has booked a hotel through the company's services."
30,Yes,High Income,1,No,No,1,"The customer is 30 years old, falls under the high-income category, and has opted for 1 service. The customer is a frequent flyer but has not synced their account to social media. Additionally, the customer has not booked a hotel yet."
34,Yes,Low Income,1,No,Yes,0,"Based on the indicators provided, the customer is 34 years old and has opted for one service from the tour and travels company. The customer is a frequent flyer and has a low income level. They have booked a hotel and their account is not synced to any social media platform."
30,No,Middle Income,2,No,No,0,"The customer is aged 30 and is not a frequent flyer. Their annual income falls within the middle income bracket. They have opted for 2 services from the company and have not synced their account to social media. Additionally, they have not booked a hotel through the travel company."
30,No,Middle Income,5,Yes,Yes,0,"The customer is 30 years old and has opted for 5 services with a middle income. They are not a frequent flyer but have synced their account to social media. Additionally, they have booked a hotel."
34,Yes,Low Income,1,Yes,No,1,"A frequent flyer customer aged 34, with low income, who has opted for one service, has synced their account to social media, and has not booked a hotel."
37,No,Middle Income,3,No,No,0,"One of the customers is 37 years old and does not have frequent flyer status. They fall into the middle-income category. This customer has opted for 3 services but has not synced their account to any social media platform. Additionally, they have not made a hotel booking yet."
30,No,Middle Income,6,No,Yes,0,The customer is aged 30 and falls into the Middle Income category for annual income. They have not participated in frequent flyer programs and have opted for 6 services. The customer has not synced their account to social media but has booked a hotel.
29,No,Low Income,1,Yes,Yes,0,"The customer is 29 years old and does not travel frequently by air. 
They belong to the Low Income segment in terms of annual income.
They have opted for 1 service provided by the company.
Their account is synced to social media, indicating they may be active on social platforms.
The customer has already booked a hotel for their travel needs."
33,Yes,High Income,1,Yes,No,0,"Based on the details provided, the customer is 33 years old and has a high annual income. The customer is a frequent flyer and has their account synced to social media. They have opted for 1 service, but they have not booked a hotel."
34,No,Middle Income,1,No,Yes,0,"The customer is 34 years old and does not have a frequent flyer account. Their annual income falls within the middle income class category. The customer has opted for one travel service. Their account is not synced to any social media platform. Additionally, they have booked a hotel for their upcoming trip."
38,No,Low Income,2,No,No,0,"The customer is 38 years old and does not have frequent flyer status. Their annual income is classified as low income. They have opted for 2 services but have not synced their account to social media. Additionally, they have not booked a hotel yet."
31,No,Middle Income,3,No,Yes,0,"The customer is 31 years old and does not have frequent flyer status. They belong to the middle-income class and have opted for 3 services. Their account is not synced to social media, but they have booked a hotel."
30,Yes,High Income,1,No,No,1,The customer is aged 30 and has a high income. They are a frequent flyer and have not synced their account to social media. They have opted for 1 service but have not booked a hotel.
35,No,Low Income,4,Yes,No,0,"The customer is 35 years old and has a low income. They are not a frequent flyer and have opted for 4 services. Their account is synced to social media, but they have not booked a hotel."
30,No,Middle Income,2,No,No,0,"The customer is 30 years old and does not have frequent flyer status. Their annual income falls in the middle income class category. They have opted for 2 services but have not synced their account to social media. Additionally, the customer has not booked a hotel."
37,Yes,Low Income,1,No,Yes,0,"The customer is 37 years old and is a frequent flyer. They belong to the low-income class. The customer has opted for 1 service and has not connected their account to social media. Additionally, they have booked a hotel."
34,Yes,Low Income,5,No,Yes,0,The customer is 34 years old and has opted for 5 services. They are a frequent flyer and have a low income. The customer has booked a hotel but has not synced their account to social media.
30,No,Middle Income,3,Yes,No,0,"Based on the given information, the customer is 30 years old and does not have frequent flyer status. They fall into the middle-income category and have opted for three services with the travel company. Their account is synced to social media, and they have not booked a hotel yet. This customer appears to be an active user of the travel company's services, but has not yet booked a hotel."
29,No,Middle Income,2,Yes,No,0,"The customer, aged 29, does not frequently fly. They belong to the Middle Income class and have opted for 2 services. Their account is synced to social media, and they have not booked a hotel."
30,No Record,Low Income,1,No,No,0,The individual is 30 years old and falls into the category of low annual income. The person does not have a record of being a frequent flyer and has opted for one service. They have not synced their account to any social media platform and have not booked a hotel yet.
27,Yes,High Income,4,No,No,1,"The customer is 27 years old and identified as a frequent flyer with a high annual income. They have opted for 4 services but have not synced their account to any social media platform. Additionally, the customer has not booked a hotel through the tour and travels company."
30,No,Middle Income,6,No,Yes,0,"The customer is 30 years old and does not have frequent flyer status. They belong to the middle-income class. The customer has opted for 6 services and has not synced their account to social media. Additionally, the customer has booked a hotel."
36,Yes,Low Income,2,Yes,No,1,"The customer is aged 36 and is a frequent flyer. They fall under the low-income annual income class category and have opted for 2 services. Their account is synced to social media, and they have not booked a hotel."
37,No,Middle Income,3,Yes,Yes,0,The customer is aged 37. The customer is not a Frequent Flyer. The customer falls in the Middle Income bracket. The customer has opted for 3 services. The customer has synced their account to social media. The customer has booked a hotel.
30,Yes,High Income,1,No,No,1,The customer is 30 years old and has a high income class. They are a frequent flyer and have not synced their account to social media. The customer has opted for 1 service but has not booked a hotel.
37,No,Low Income,1,No,No,0,The customer is 37 years old and falls into the low income category. They are not a frequent flyer and have not synced their account to social media. They have opted for 1 service but have not booked a hotel.
30,No,Middle Income,2,No,Yes,0,"The customer, aged 30, is not a frequent flyer and falls under the middle-income class category. They have opted for 2 services and have not synced their account to social media. Additionally, the customer has booked a hotel."
27,No,Middle Income,4,Yes,Yes,0,"The customer is 27 years old, falls under the Middle Income category for Annual Income Class, has opted for 4 services with the tour and travels company. They are not a Frequent Flyer but have synced their account to social media and have booked a hotel through the company."
37,Yes,Low Income,1,Yes,No,1,"The customer is 37 years old. They are a frequent flyer and have a low income. The customer has opted for 1 service and has synced their account to social media. However, they have not booked a hotel."
28,No,Low Income,5,No,No,0,"Based on the indicators provided, a 28-year-old customer with low annual income, who is not a frequent flyer, has opted for 5 services but has not booked a hotel and has not synced the account to social media."
34,No Record,Middle Income,2,No,No,0,"This customer is 34 years old and falls under the Middle Income bracket. The customer has not participated in frequent flyer programs in the past, indicating they may not be a regular traveler. They have opted for 2 services in total. Their account is not synced to any social media platforms. Additionally, they have not made a prior hotel booking through the company."
29,No,Low Income,1,Yes,Yes,0,"A 29-year-old customer with low income, who is not a frequent flyer, has opted for 1 service, has their account synced to social media, and has booked a hotel."
37,Yes,High Income,1,No,No,0,The customer is 37 years old and belongs to the high income class. They are a frequent flyer and have opted for 1 service. The customer has not synced their account to social media and has not booked a hotel.
28,No,Middle Income,1,Yes,Yes,0,The customer is 28 years old and does not have frequent flyer status. Their annual income falls within the Middle Income class. They have opted for 1 service. The customer has their account synced to social media and has booked a hotel.
30,No,Low Income,4,No,No,0,"A potential customer, aged 30, has indicated that they are not a frequent flyer. Their annual income falls within the low income class category. They have opted for 4 services but have not synced their account to social media or booked a hotel yet."
35,No,Middle Income,3,No,No,0,The customer is 35 years old and does not hold a frequent flyer status. They belong to the middle-income class and have opted for 3 services offered by the tour and travels company. The customer has not synced their account to any social media platform and has not yet booked a hotel through the company.
30,Yes,High Income,6,No,Yes,1,"The customer is aged 30, with a high income level, and has opted for 6 services. They are a frequent flyer and have booked a hotel. However, their account is not synced to social media.
"
30,No,Low Income,1,Yes,No,0,"A 30-year-old customer with low annual income, who is not a frequent flyer, has opted for 1 service. Their account is synced to social media but they have not booked a hotel yet."
37,No,Middle Income,2,Yes,No,0,"This individual is aged 37 and falls under the Middle Income category in terms of annual income. This customer is not a frequent flyer and has opted for 2 services. Their account is synced to social media, but they have not yet booked a hotel."
30,No,Middle Income,1,No,Yes,0,"The customer is 30 years of age and is not a frequent flyer. Their annual income class is middle income. They have opted for 1 service and have not synced their account to social media. Additionally, they have booked a hotel."
30,Yes,Low Income,1,Yes,No,1,"The customer is 30 years old and is a frequent flyer, with low income. They have opted for 1 service and have their account synced to social media. However, they have not booked a hotel."
28,No Record,Middle Income,4,No,Yes,0,"The customer is 28 years old and belongs to the middle income class. They have opted for 4 services. They do not have a record of being a frequent flyer. Their account is not synced to social media, but they have booked a hotel."
36,No,Middle Income,5,No,No,1,"The individual is 36 years old, does not have frequent flyer status, falls into the Middle Income bracket for annual income, has opted for 5 services, has not synced their account to social media, and has not booked a hotel."
36,Yes,Low Income,1,Yes,No,0,"The customer is 36 years old, a frequent flyer, with a low income. They have opted for 1 service and have synced their account to social media. However, the customer has not booked a hotel."
29,Yes,High Income,1,No,No,0,"Based on the provided indicators, a 29-year-old customer with a high income, who is a frequent flyer, has opted for 1 service. The customer has not synced their account to social media and has not booked a hotel yet."
35,No,Middle Income,1,No,Yes,0,"The customer is aged 35, falls under the Middle Income category for annual income, has not enrolled as a Frequent Flyer, opted for one service, has not synced his account to social media, and has booked a hotel."
30,No,Low Income,2,No,Yes,0,"The customer is 30 years old, with a low income. They are not a frequent flyer and have opted for 2 services. They have not synced their account to social media but have booked a hotel."
34,No,Middle Income,3,Yes,Yes,0,"The customer is a 34-year-old individual with a middle income. They have not enrolled as a frequent flyer but have opted for 3 services provided by the tour & travels company. Additionally, they have linked their account to social media and have booked a hotel through the company."
30,Yes,High Income,4,Yes,No,1,"The customer is 30 years old and has a high income class. They are a frequent flyer and have opted for 4 services. Additionally, their account is synced to social media and they have not booked a hotel."
33,No,Low Income,1,Yes,No,0,"The customer is 33 years old and does not have frequent flyer status. They fall into the low income category. They have opted for 1 service and have synced their account to social media. However, they have not booked a hotel yet."
37,Yes,Low Income,2,No,No,0,"For the given customer of age 37, who is a frequent flyer and has a low income, they have opted for 2 services. Their account is not synced to social media and they have not booked a hotel yet."
30,No,Middle Income,6,No,Yes,0,"The customer is 30 years old and belongs to the middle-income class. They have opted for 6 services from the tour and travels company. They are not a frequent flyer and have not synced their account to social media. However, they have booked a hotel through the company."
30,Yes,Low Income,1,No,No,0,"The customer is 30 years old and has an annual income falling in the Low Income class. They are a frequent flyer but have not synced their account to social media. They have opted for one service, but have not booked a hotel."
28,No,Middle Income,3,Yes,No,0,The customer is 28 years old. They are not a frequent flyer. Their annual income class is middle income. They have opted for 3 services. Their account is synced to social media. They have not booked a hotel.
35,No,Middle Income,2,No,No,0,"Based on the provided indicators, a customer aged 35, with middle income, has not enrolled as a Frequent Flyer or synced their account to social media. They have opted for 2 services but have not booked a hotel. This customer might be less inclined towards travel loyalty programs and social media engagement, possibly leading to a lower likelihood of churning."
37,No,Low Income,5,No,Yes,1,The customer is 37 years old. They are not a frequent flyer and have a low income. The customer has opted for 5 services and has not synced their account to social media. They have booked a hotel.
30,Yes,High Income,1,No,Yes,0,The customer is 30 years old and falls into the high-income class. They are a frequent flyer and have opted for one service. They have booked a hotel but have not synced their account to social media.
30,No,Low Income,1,Yes,Yes,0,The customer is 30 years old and does not classify as a frequent flyer. Their annual income falls under the low-income category. The customer has opted for one service and has their account synced to social media. They have also made a hotel booking.
28,No,Low Income,2,Yes,No,1,"The customer is 28 years old, has a low income, opted for 2 services, does not have frequent flyer status, has synced their account to social media, and has not booked a hotel."
36,No,Middle Income,3,No,No,0,The customer is 36 years old and does not frequently fly. They fall into the middle income category. They have opted for 3 services without syncing their account to social media or booking a hotel.
28,Yes,High Income,1,No,No,1,"The individual is 28 years old. They are a frequent flyer with a high annual income. They have opted for 1 service with their tour and travels company. Their account is not synced to social media, and they have not booked a hotel yet."
30,No,Low Income,1,No,Yes,0,The customer mentioned is 30 years old. They are not a frequent flyer and have a low income. The customer has opted for 1 service. Their account is not synced to social media but they have booked a hotel.
31,No,Middle Income,4,No,No,0,"The customer is 31 years old, falls under the middle-income bracket, has not opted for a Frequent Flyer program, has avail of 4 services, has not synced the account to social media, and has not booked a hotel."
29,No Record,Middle Income,1,Yes,Yes,0,"The customer is 29 years old and has a middle income. They do not have a record of being a frequent flyer. The customer has opted for one service and has synced their account to social media. Additionally, they have booked a hotel."
33,Yes,Low Income,1,No,No,0,This customer is 33 years old and has a low income. They are a frequent flyer but have not booked a hotel. Their account is not synced to social media. They have opted for 1 service.
